University,Abbreviation,Department,Course title,Unit,Professor,Objective,Prerequisite,Required Skills,Outcome,References,Scores,Description,Projects,University Homepage,Course Homepage,Professor Homepage
University of Oslo,UIO,Education,The Economic and International/Global Dimension of Higher Education,15,,,[],,"
Learning outcome
The aim of the first unit is to provide you with a theoretical foundation of the economic dimension of higher education. Amongst other things, the aim is to increase your understanding of the importance of the economic dimension of higher education in the framework of the international discussions on the knowledge society/economy. As an important element in this, you will also learn the nature and importance of the current ‘privatization’ trend in higher education. The aim of the second unit is to provide you with a theoretical foundation concerning the main internationalization and globalization trends in higher education.
",,,"
Course content
The Economic and International/Global Dimension consists of two units
1. Higher education economics
The economics of higher education will be the topic of this unit, implying that topics such as the following will be addressed

the meaning and implications of the ‘economization’ of higher education and higher education policies
changes in public and private funding patterns of higher education
the rapid changes in relationships between higher education and the world of work amidst moves towards a knowledge society
the growing importance of lifelong learning
the trend toward globalisation of economy and society

2. Globalization, internationalization and the knowledge society
This unit will identify and analyse the impact of globalisation/internationalization trends and the demands of the knowledge society on higher education. Key issues will include

the changing role of national governments in the coordination of higher education systems, multi-level policy formulation and implementation
the effects of increasing global competition on the various functions of higher education and on institutional and programme diversity and strategies for organisational adaptation

",,https://www.uio.no,https://www.uio.no/studier/emner/uv/iped/HEM4230/index.html,
University of Oslo,UIO,Education,Thesis Proposal,5,,,"
Prerequisites
Recommended previous knowledge
Successful completion of HEM4112 – Research Methods and Statistics - course I or equivalent.
",,"
Learning outcome
The course is designed to teach you how to write a research proposal as a basis for your Master thesis work.
Upon successful completion of the course you are expected to
Knowledge

have knowledge on relationship between the research questions, research design and choice of methodology and the theoretical/analytical framework

Skills

be able to organize your work on the thesis, taking into account your role in relation to the role of the supervisor(s), the aims of the process of producing a master thesis, as well as limitations in terms of resources
be able to write up your research and produce a clear, consistent and coherent thesis

Competence

be able to critically assess the feasibility and coherence of research proposals
be able to work independently on your thesis

",,,"
Course content
The course is organized in seminars in which you are expected to improve your initial thesis proposal from one to the other seminar. The first seminar is primarily focused on the research questions, their formulation and researchability, and the coherence between the research questions and the research design. The second seminar focuses on the choice of theoretical/analytical framework and the elaboration of the methodological approach.
Apart from presenting your thesis proposals in both seminars, you will be expected to comment on thesis proposals of other students.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/iped/HEM4250/index.html,
University of Oslo,UIO,Education,Advanced Courses in Research Methods,5,,,"
Prerequisites
Recommended previous knowledge
Students must have successfully completed of the following courses: HEM4112 – Research Methods and Statistics - course I, HEM4250 – Thesis Proposal, as well as completed and passed all requirements of the previous semesters in order to enter the course offered.
",,"
Learning outcome
The course is designed for you to learn how to further develop a research proposal that forms the basis for your Master thesis work.
Upon successful completion of the course you are expected to
Knowledge

have knowledge on the different elements of a coherent research proposal, and have advanced knowledge related to the various methodological choices for thesis work

Skills

be able to develop a sufficiently coherent research proposal with specific focus on methodological choices and the implications of such choices

Competence

be able to work independently on writing up a research proposal, develop analytical skills to independently assess the coherence of research proposals, as well as development of skills for providing feedback on written text

",,,"
Course content
The course is focused on further development of the thesis proposal with specific focus on methodology, as well as working on analyzing research proposals and giving feedback to peers.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/iped/HEM4312/index.html,
University of Oslo,UIO,Education,Master Thesis,30,,,"
Prerequisites
Formal prerequisite knowledge
Students must have completed all other courses in the programme in order to receive supervision and hand in their thesis.
",,"
Learning outcome
Upon successful completion of this course you are expected to

Knowledge 

demonstrate understanding of how to apply research methods and design in order to complete a master thesis.

Skills

be able to organize their work on the thesis, taking into account his/her role in relation to the role of the supervisor(s), the aims of the process of producing a master thesis as well as limitations in terms of resources.
produce a clear, consistent and coherent research based thesis.

Competence

be able to work independently to create a master thesis.
demonstrate research and analytical competence in issue relating to higher education in relation to the aims of the programme.

",,,"
Course content
During the final semester of the Master Programme in Higher Education, you are required to write a 50-80 page master thesis. The thesis is an independent piece of scientific research demonstrating the student's competence in higher education in relation to the aims of the programme.
You are assisted in developing the proposal for you thesis through a special writing course, advanced research methods course, and thesis proposal seminars. Field work cannot be undertaken until the thesis proposal has been approved. You are guided in you work by a supervisor who is appointed by the department with expertise in the particular topic under investigation.
Data for the thesis are collected in the country/countries under investigation and depend on the issue under investigation. Quota students should preferably undertake field work in their country of origin. Norwegian students are encouraged to undertake data collection outside of Norway or on a comparative basis with Norway.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/iped/HEM4390/index.html,
University of Oslo,UIO,Education,Data Science,10,,,[],,"
Learning outcome
Knowledge

recognize the challenges with respect to data collection, data quality, and alignment between research questions and the data
recognize descriptive statistics as basic summaries of specific data features
recognize that sampling variability and uncertainty are ubiquitous

Skills

run basic data management, visualization, and analysis techniques using the open source statistical software environment R

Competence

Manage a core dataset by wrangling it into shape for specific data-analyses and performing an audit to document and clean unexpected irregularities
Visualize data paying attention to basic quality criteria to increase clarity and communication value 
Perform and communicate basic data analyses taking into consideration features of the study design and inferential uncertainty

",,,"
Course content
In this course, you will learn to work with the core concepts and techniques of descriptive and inferential statistics that function as foundations for formulating and implementing successful data-based analysis strategies to perform evidence-based research.  
 
You will be introduced to the essentials of basic programming and use of syntax-based data analysis as instantiated in the open-source statistical and graphic software environment R.  
 
The course covers the following five key topics:
1. Data Management: wrangling & auditing
2. Descriptive Statistics
3. Data Visualization and Representations (i.e., plots, tables, diagrams)
4. Probability and Randomness
5. Statistical Inference & Design
 
Throughout the course, attention will be given to issues regarding questionable research practices and research ethics. 
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/cemo/MAE4000/index.html,
University of Oslo,UIO,Education,Linear Models,5,,,"
Prerequisites
Recommended previous knowledge
It is recommended to have had an introductory class covering descriptive (e.g., mean, variance, correlation) and inferential statistics (e.g., hypothesis tests) such as for instance MAE4000 Data Science. 
",,"
Learning outcome
Knowledge 

understand that models fit systematic data patterns but that residual random and/or systematic data patterns remain
distinguish between a naïve experiment-inspired interpretation and a proper non-causal interpretation of model parameters
understand that model-based inferences are affected by sampling variation and by the extent that model assumptions hold for the data  

Skills 

Fit linear models to data in statistical software
Interpret model parameters and related statistics in light of the underlying data and study design
Hold a model-data dialogue using diagnostics to check the model and its inferential robustness
Write up the results of an analysis in an appropriate way

Competence 

demonstrate a facility with linear modeling to answer well-defined research questions
interpret published scientific research that uses these models and methods
evaluate the tenability of associated inferences and knowledge claims  

",,,"
Course content
This course provides an introduction to principles, terminology, and strategies for statistical modelling with the linear model as initial framework for data analysis.  
The linear model is a modelling workhorse for data analyses commonly referred to in the social and behavioural sciences as regression analysis and is an essential building block towards more advanced regression-based model techniques such as multilevel analysis and structural equation modelling. 
 
The emphasis in the course is on understanding the logic behind the modelling techniques and getting a hold of a proper nonnaive interpretation of the model results. 
 
The following topics are covered in class:
1. Simple regression: 1 predictor
2. Multiple regression: more predictors
3. Mini case studies
4. Model assumptions
5. Influential Outliers
6. Categorical predictors
7. Second-order predictors: interaction 
 
Although the course is in se platform/software independent, we will advance the use of the open-source statistical and graphic environment R during the computer labs
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/cemo/MAE4001/index.html,
University of Oslo,UIO,Education,Constructing Measures,10,,,[],,"
Learning outcome
Knowledge

understand the relative strengths and limitations of item formats commonly used for measurement of cognitive and non-cognitive attributes
demonstrate familiarity with recommended item writing principles
recognize the importance of theory-driven design and being clear about the purpose of measurement

Skills

make use of expert reviews and cognitive labs to probe how people engage with the measurement instrument
apply basic measurement principles to design a good quality measurement instrument
design score reports in line with the measurement purpose and target group
write reports documenting all phases of the development of an instrument

Competence

evaluate and review existing measurement instruments, their development in general, and their validation in particular
contribute in constructive and critical fashion to the (re)design of a measurement instrument at each phase of the development cycle

",,,"
Course content
The course covers the full research and development cycle of a measurement instrument including

design, piloting, cognitive labs,
sampling and data collection,
analysis, reporting and communication
maintenance, monitoring, and redesign 

The focus will be on theory-driven design from the ground-up and synthesizing qualitative and quantitative insights into the development cycle.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/cemo/MAE4010/index.html,
University of Oslo,UIO,Education,Principles of Measurement,10,,,"
Prerequisites
Recommended previous knowledge
It is recommended that you take MAE4000 Data Science parallell to this course.
",,"
Learning outcome
Knowledge

understand the basic principles of measurement, particularly as they pertain to classical test theory, including reliability and validity
understand why and what we measure in education and related social science
problematize classical and contemporary issues around educational measurement, including the metric of measurement and sources of error

Skills

use classical test theory techniques to evaluate the quality of test data and to produce basic scale scores for examinees and survey respondents
interpret test scores

Competencies

apply the basic principles and procedures of statistics and measurement theory to educational and psychological measurement
incorporate the evaluation of the adequacy of reliability and validity evidence into decisions regarding the use of educational and psychological measurements

",,,"
Course content
In this course you get acquainted with the foundational theories and concepts in measurement.
The course covers the following overarching topics:

Fundamental issues in measurement
Technical and statistical foundations in educational measurement
Reliability
Validity
Testing applications and interpretations

",,https://www.uio.no,https://www.uio.no/studier/emner/uv/cemo/MAE4011/index.html,
University of Oslo,UIO,Education,Current Topics and Debates in Assessment and Evaluation,5,,,[],,"
Learning outcome
Knowledge

understand current views of validity and reliability in both assessment, measurement and evaluation literature
demonstrate an understanding of global movements in the field of assessment, measurement and evaluation
understand current popular views of educational assessments and evaluations in the Norwegian system

Skills

demonstrate capacity to discuss differing theories of validity and how different understandings change the way assessments and evaluations are currently being used 
discuss the different reasons why we assess and evaluate educational systems and how differing conceptions, values, and agendas result in current assessment/evaluation systems, internationally and within Norway.

Competencies

discuss the most pressing debates in educational assessment and evaluation
explain how those debates and discussions influence how educational assessments and evaluations are being used
choose and apply a validity framework to a current educational evaluation system

",,,"
Course content
This course introduces you to current topics and debates in educational assessment, measurement and evaluation both in Norway and around the world. Implications and consequences, both expected as well as unexpected, of educational assessments are discussed from the perspective of the various stakeholders.
The exact topics of this course will change from year to year. However, the topic of validity and reliability is always recurring, discussed, and used to situate our understanding of assessment, measurement and evaluation.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/cemo/MAE4050/index.html,
University of Oslo,UIO,Education,Selected Topics in Educational Measurement,10,,,"
Prerequisites
Formal prerequisite knowledge
Obligatory requirement of having completed MAE4000 Data Science, MAE4011 Principles of Measurement, MAE4120 Item Response Theory or equivalent. Students from other programs or departments are welcome to apply if there is room in the course and they have the required background knowledge. Contact studentinfo@cemo.uio.no to find out if it is possible for you to attend.
",,"
Learning outcome
This course is based on selecting two topics from a larger list of specific applications of theory from the field of educational measurement and assessment. Upon completion of the course you will:
Knowledge

 Have gained deep and detailed knowledge about two selected specific contexts where principles from educational measurement are applied

Skills

Master and understand the principles behind a few specific applications of educational measurement regularly occurring in assessment contexts

Competencies

Be able to make reasonable judgements and carry through all necessary steps in designing and analyzing data with regards to two specific topics/procedures within the field of applied educational measurement

",,,"
Course content
By focusing on topics connected to more specialized techniques and procedures in educational measurement, this course will offer an opportunity to deepen the knowledge acquired in the first year of the Master in Assessment, Measurement and Evaluation.
The exact list of topics to choose from will vary from year to year. It will typically include topics such as for example large-scale assessment, equating, standard setting, computerized adaptive testing (CAT), Monte Carlo simulations, Generalized Linear Latent and Mixed Models (GLLAMM).
There will be one workshop per topic, so students must choose two workshops to attend. The students should send an e-mail to the administration at the start of the semester specifying which workshops they will attend.
Please see the semester page for specific information about which topics are offered in a given term.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/cemo/MAE4051/index.html,
University of Oslo,UIO,Education,Constructing Measures II,5,,,"
Prerequisites
Formal prerequisite knowledge
Basic knowledge of the statistical programming environment R is required.
Recommended previous knowledge
Familiarity with core concepts of educational measurement, including item response theory.
",,"
Learning outcome
Upon completion of the course, you:
Knowledge

have gained deep and detailed knowledge of concepts and procedures of scaling and scoring.

Skills 

are able to apply frequently used methodological techniques and procedures involved in scaling and scoring.

Competencies 

make reasonable judgements of the benefits and limitations of choices made when designing and implementing measurement scales and scoring systems.

",,,"
Course content
A key element in standardized testing practices is enabling valid comparisons and facilitating a meaningful interpretation of scores on a constructed measurement scale. We revisit and elaborate on commonly used measurement practices for both scaling and the interpretation of scores (e.g. norming, standard setting, linking & equating, and rater-based scoring).
The course aims to 

further increase your understanding of the core concepts and tackling the what, why, & how of scaling and scoring;
cover realistic example applications and discuss specific issues you could face in while implementing scaling and scoring systems;
put theory into practice based on a given problem case.

",,https://www.uio.no,https://www.uio.no/studier/emner/uv/cemo/mae4052/index.html,
University of Oslo,UIO,Education,Survey Methodology,5,,,"
Prerequisites
Formal prerequisite knowledge
Basic knowledge of the statistical programming environment R is required.
Recommended previous knowledge
MAE4000 Data Science or equivalent.
",,"
Learning outcome
Upon completion of the course, you:
Knowledge 

demonstrate an understanding of the central principles in survey design; 
understand how and why surveys are applied in the social sciences; 
recognize the differences between different sampling methods, and reflect on their suitable use; 
delineate between different types of missing data principles: missing completely at random, missing at random, and nonignorable missing;
identify factors that indicate high survey quality.

Skills 

conduct statistical analyses with survey data to estimate population parameters while accounting for the survey design (e.g., the use of sampling weights); 
use multiple imputation to handle missing data in the statistical environment R.

Competencies 

critically read and interpret results from survey reports and secondary analyses of survey data; 
Identify and develop a systematic survey approach for given research questions.

",,,"
Course content
In this course, you will learn the core principles of survey design and survey methodology. Surveys usually aim to draw a representative sample from a specified target population with a purpose, for example, to make comparisons between groups or estimate trends in the population.
This course introduces surveys and their different aims, sampling designs and survey error types, sampling weights, and missing data, and methods to handle particular survey characteristics. The course covers both methodological considerations and substantive research implications.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/cemo/mae4053/index.html,
